Date,Team,Acquired,Relinquished,Notes,Injury,DL_length,Injury_Type
2007-03-29, Tigers, , • Kenny Rogers, placed on 15 day DL with fatigued arm (blood clot in left shoulder per CBS),1,15, fatigued arm (blood clot in left shoulder per CBS)
2007-03-30, Braves, , • Mike Hampton (William), placed on 15 day DL with strained left oblique,1,15, strained left oblique
2007-03-30, Braves, , • Tanyon Sturtze, placed on 15 day DL recovering from surgery on right shoulder,1,15,unknown
2007-03-30, Braves, , • Willy Aybar, placed on 15 day DL with sprained right hand,1,15, sprained right hand
2007-03-30, Marlins, , • Carlos Martinez (M.), placed on 15 day DL recovering from surgery on right elbow,1,15,unknown
2007-03-30, Marlins, , • Jose Garcia (Luis), placed on 15 day DL with swollen right elbow,1,15, swollen right elbow
2007-03-30, Marlins, , • Josh Johnson (M.), placed on 15 day DL with ulnar nerve irritation in right arm,1,15, ulnar nerve irritation in right arm
2007-03-30, Marlins, , • Logan Kensing, placed on 15 day DL recovering from surgery on right elbow,1,15,unknown
2007-03-30, Padres, , • Scott Cassidy, placed on 15 day DL with strained right knee,1,15, strained right knee
2007-03-30, Phillies, , • Freddy Garcia, placed on 15 day DL with right biceps tendinitis,1,15, right biceps tendinitis
2007-03-30, Phillies, , • Jon Lieber, placed on 15 day DL with strained right oblique,1,15, strained right oblique
2007-03-30, Phillies, , • Ryan Budde, placed on 15 day DL with strained left oblique,1,15, strained left oblique
2007-03-30, Pirates, , John Grabow, placed on 15 day DL with left elbow inflammation,1,15, left elbow inflammation
2007-03-30, Reds, , • Norris Hopper, placed on 15 day DL with bruised right heel,1,15, bruised right heel
2007-03-30, Tigers, , • Vance Wilson, placed on 15 day DL with sore right elbow,1,15, sore right elbow
2007-03-30, Yankees, , • Jeff Karstens, placed on 15 day DL with right elbow stiffness,1,15, right elbow stiffness
2007-03-31, Angels, , • Bartolo Colon, placed on 15 day DL with rotator cuff injury,1,15, rotator cuff injury
2007-03-31, Angels, , • Dallas McPherson, placed on 60 day DL recovering from surgery on lower back,1,60,unknown
2007-03-31, Angels, , • Desmond Figgins / Chone Figgins, placed on 15 day DL with fractured figers on right hand,1,15, fractured figers on right hand
2007-03-31, Angels, , • Jered Weaver, placed on 15 day DL with bicep tendinitis,1,15, bicep tendinitis
2007-03-31, Angels, , • Juan Rivera (b), placed on 15 day DL with broken left leg,1,15, broken left leg
2007-03-31, Blue Jays, , • Davis Romero, placed on 15 day DL with torn labrum in left shoulder (out for season),1,15, torn labrum in left shoulder (out for season)
2007-03-31, Blue Jays, , • John Thomson, placed on 15 day DL with sore right shoulder,1,15, sore right shoulder
2007-03-31, Devil Rays, , • Greg Norton, placed on 15 day DL with torn meniscus in right knee (out 4 6 weeks),1,15, torn meniscus in right knee (out 4 6 weeks)
2007-03-31, Diamondbacks, , • Carlos Quentin, placed on 15 day DL with slight tear in labrum in left shoulder,1,15, slight tear in labrum in left shoulder
